# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10Y10000.8400G000.A.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	0L	2	-535	246	1	0	1	0
10Y10000.8400O000.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0S	2	-55	162	1	1	0	0
10YH0000.8400O000.9.A.D.0.-.-.0.L.9	rust-surveyor-v0.1.0	0E	2	-670	840	1	0	1	0
10YH0000.8400O400.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	0H	2	0	191	1	1	0	0
10YH0W00.8400O400.8.9.D.0.-.-.0.L.B	rust-surveyor-v0.1.0	0f	2	-590	258	1	0	1	0
10YH0W00.8a00O400.8.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	03	2	0	181	1	1	0	0
10YH0W08.8a00O400.7.8.D.0.-.-.0.L.D	rust-surveyor-v0.1.0	0A	2	-405	142	1	0	1	0
10YH0W08.8a00O4G0.7.7.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0G	2	-185	138	1	1	0	0
10YH0m08.8a00O4G0.6.7.D.0.-.-.0.L.F	rust-surveyor-v0.1.0	0b	2	-460	294	1	0	1	0
10YH0m08.8c00O4G0.6.6.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	02	2	-315	223	1	1	0	0
10YH0m0C.8c00O4G0.5.6.D.0.-.-.0.L.H	rust-surveyor-v0.1.0	09	2	-90	126	1	0	1	0
10YH0m0C.8c00O4O0.5.5.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0N	2	-665	380	1	1	0	0
10YHWm0C.8c00O4O0.4.5.D.0.-.-.0.L.J	rust-surveyor-v0.1.0	07	2	-350	230	1	0	1	0
10YHWm0C.8c00O4Q0.4.4.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0I	2	-370	168	1	1	0	0
10YHXm0C.8c00O4Q0.3.4.D.0.-.-.0.L.L	rust-surveyor-v0.1.0	08	2	-240	188	1	0	1	0
10YHXm0C.8c00O4U0.3.3.L.0.-.-.0.D.M	rust-pathfinder-v0.1.0	0U	2	-405	131	1	1	0	0
10ZHXm0C.8c00O4U0.2.3.D.0.-.-.0.L.N	rust-surveyor-v0.1.0	0i	2	-570	174	1	0	1	0
10ZHXm0C.Cc00O4U0.2.2.L.0.-.-.0.D.O	rust-pathfinder-v0.1.0	0F	2	-350	144	1	1	0	0
10ZHXu0C.Cc00O4U0.1.2.D.0.-.-.0.L.P	rust-surveyor-v0.1.0	0T	2	-845	491	1	0	1	0
10ZHXu0C.Cc0WO4U0.1.1.L.0.-.-.0.D.Q	rust-pathfinder-v0.1.0	0W	2	-590	111	1	1	0	0
10a000.4800000.B.C.D.0.-.-.0.L.5	rust-surveyor-v0.1.0	0d	2	-515	258	1	0	1	0
10a000.C800000.B.B.L.0.-.-.0.D.6	rust-pathfinder-v0.1.0	02	2	-85	211	1	1	0	0
10a004.C800000.A.B.D.0.-.-.0.L.7	rust-surveyor-v0.1.0	0W	2	-485	286	1	0	1	0
10a004.CC00000.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0a	2	-165	279	1	1	0	0
10aU31W61.OO1mmGPW.0.0.L.0.I.A.0.D.m	rust-surveyor-v0.1.0	Tw	2	-235	1269	1	1	0	0
10aU31W61.QO1mmG9W.0.0.D.0.I.9.0.L.l	rust-pathfinder-v0.1.0	Xs	2	-555	1327	1	0	1	0
10c630u61.UO1mm01m.0.0.D.0.-.h.0.L.f	rust-pathfinder-v0.1.0	4M	2	-330	1003	1	0	1	0
10c630u61.UO9mm01W.0.0.L.0.-.X.0.D.g	rust-surveyor-v0.1.0	DZ	2	35	1019	1	1	0	0
10cM30e61.UO1mm01W.0.1.D.800000.Y.X.1.L.h	rust-pathfinder-v0.1.0	0G	2	-755	111	1	0	1	0
10cM30e61.UO1mmG1W.0.0.L.0.Y.-.0.D.i	rust-surveyor-v0.1.0	Cn	2	275	882	1	1	0	0
10cU30W61.QO1mmG9W.0.0.L.0.X.9.0.D.k	rust-surveyor-v0.1.0	TO	2	275	1642	1	1	0	0
10cU30W61.UO1mmG1W.0.0.D.0.X.-.0.L.j	rust-pathfinder-v0.1.0	Yc	2	-720	1416	1	0	1	0
