# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
10W1WW042.200GRW.7.7.L.0.-.-.0.D.E	rust-evo-g1-c0-279-109-820-53-117-66	0a	2	-603	204	1	0	1	0
10W1WW042.200GRW.7.7.L.0.-.-.0.D.E	rust-handcrafted-g0	0a	2	-460	204	1	0	1	0
10WC631Wm.4GG8yI10.2.3.D.0.-.-.0.L.N	rust-evo-g1-c0-279-109-820-53-117-66	00	2	-14748	675	1	0	1	0
10WC631Wm.4GG8yI11.2.2.L.0.-.-.0.D.O	rust-handcrafted-g0	0d	2	11960	98	1	1	0	0
10WG83XmU.FsC621.0.0.D.0.m.S.0.L.11	rust-handcrafted-g0	17	2	110	915	1	0	0	1
10WG83XmU.FsS620.0.0.L.0.m.M.0.D.12	rust-evo-g1-c0-279-109-820-53-117-66	1d	2	-106	867	1	0	0	1
10WG83Xmy.FcS621.0.0.D.0.2.0.0.L.1V	rust-evo-g1-c0-279-109-820-53-117-66	I3	2	106	915	1	0	0	1
10WG83Xmy.FcS621.0.0.D.0.4.0.0.L.19	rust-handcrafted-g0	I3	2	110	915	1	0	0	1
10WG83Xmy.FcS621.0.0.L.0.2.0.0.D.1o	rust-evo-g1-c0-279-109-820-53-117-66	3x	2	-106	963	1	0	0	1
10WG83Xmy.FcS621.0.0.L.0.2.0.0.D.1o	rust-handcrafted-g0	3x	2	-110	963	1	0	0	1
10WG83Xmy.FcSE20.0.0.D.0.2.7.0.L.1n	rust-evo-g1-c0-279-109-820-53-117-66	CG	2	106	915	1	0	0	1
10WG83Xmy.FcSE20.0.0.D.0.2.7.0.L.1n	rust-handcrafted-g0	CG	2	110	915	1	0	0	1
10WG83Xmy.FcSE20.0.0.L.0.2.7.0.D.1c	rust-handcrafted-g0	3x	2	-110	915	1	0	0	1
10WG83Xmy.FsC621.0.0.D.0.2.S.0.L.1h	rust-evo-g1-c0-279-109-820-53-117-66	17	2	106	963	1	0	0	1
10WG83Xmy.FsC621.0.0.D.0.2.S.0.L.1h	rust-handcrafted-g0	17	2	110	963	1	0	0	1
10WG83Xmy.FsC621.0.0.L.0.2.S.0.D.1W	rust-handcrafted-g0	3x	2	-110	915	1	0	0	1
10WG83Xmy.FsC621.0.0.L.0.4.S.0.D.1A	rust-evo-g1-c0-279-109-820-53-117-66	2P	2	-106	867	1	0	0	1
10WG83Xmy.FsS620.0.0.D.0.2.M.0.L.1P	rust-evo-g1-c0-279-109-820-53-117-66	6N	2	106	867	1	0	0	1
10WG83Xmy.FsS620.0.0.D.0.2.M.0.L.1t	rust-evo-g1-c0-279-109-820-53-117-66	6N	2	106	867	1	0	0	1
10WG83Xmy.FsS620.0.0.D.0.2.M.0.L.1t	rust-handcrafted-g0	6N	2	110	867	1	0	0	1
10WG83Xmy.FsS620.0.0.D.0.5.M.0.L.13	rust-handcrafted-g0	6N	2	110	867	1	0	0	1
10WG83Xmy.FsS620.0.0.L.0.2.M.0.D.1i	rust-evo-g1-c0-279-109-820-53-117-66	3x	2	-106	915	1	0	0	1
10WG83Xmy.FsS620.0.0.L.0.2.M.0.D.1i	rust-handcrafted-g0	3x	2	-110	915	1	0	0	1
10WG83Xmy.FsSE00.0.0.D.0.2.F.0.L.1b	rust-evo-g1-c0-279-109-820-53-117-66	MK	2	106	963	1	0	0	1
10WG83Xmy.FsSE00.0.0.L.0.2.F.0.D.1Q	rust-handcrafted-g0	3x	2	-110	915	1	0	0	1
