# state	action	visits	wins	losses	draws
100XOK22.5_G0000.5.5.D.0.-.-.0.L.J	0b	1	1	0	0
100m8420.W00801.8.B.D.0.-.-.0.L.B	01	1	1	0	0
100m8420.W00803.8.A.L.0.-.-.0.D.C	03	1	0	1	0
100m8428.W00803.7.A.D.0.-.-.0.L.D	02	1	1	0	0
100m8428.W00807.7.9.L.0.-.-.0.D.E	04	1	0	1	0
100m842O.W00807.6.9.D.0.-.-.0.L.F	0A	1	1	0	0
100m842O.W008G7.6.8.L.0.-.-.0.D.G	0H	1	0	1	0
100m8a2O.W00807.5.9.D.G0.-.-.1.L.H	09	1	1	0	0
100m8a2O.W00887.5.8.L.0.-.-.0.D.I	0B	1	0	1	0
100m8aYO.W00887.4.8.D.0.-.-.0.L.J	0A	1	1	0	0
100m8aYO.W008O7.4.7.L.0.-.-.0.D.K	0C	1	0	1	0
100m8bYO.W008O7.3.7.D.0.-.-.0.L.L	0G	1	1	0	0
100m8bYO.W00OO7.3.6.L.0.-.-.0.D.M	0I	1	0	1	0
100m9bYO.W00OO7.2.6.D.0.-.-.0.L.N	0M	1	1	0	0
100m9bYO.W0GOO7.2.5.L.0.-.-.0.D.O	0O	1	0	1	0
100n9bYO.W0GOO7.1.5.D.0.-.-.0.L.P	0N	1	1	0	0
100n9bYO.W0mOO7.1.4.L.0.-.-.0.D.Q	0P	1	0	1	0
100p9bYO.W0mOO7.0.4.D.0.-.-.0.L.R	0a	1	1	0	0
101Dc0.800Od.6.7.D.0.-.-.0.L.F	06	1	1	0	0
101Dc0.800Pd.6.6.L.0.-.-.0.D.G	04	1	0	1	0
101Dc0.800Pl.6.5.L.G.-.-.1.D.I	0k	1	0	1	0
101DcG.800Pd.5.6.D.0.-.-.0.L.H	03	1	1	0	0
101WXmO.6G0C5.5.7.D.0.-.-.0.L.J	0I	1	0	1	0
101WXmO.6H0C5.5.6.L.0.-.-.0.D.K	0J	1	1	0	0
101YXmO.6G0C5.4.7.D.1000.-.-.1.L.L	0G	1	0	1	0
101YXmO.6GGC5.4.6.L.0.-.-.0.D.M	0F	1	1	0	0
101YfmO.6G0C5.3.7.D.G00.-.-.1.L.N	0I	1	0	1	0
101YfmO.6H0C5.3.6.L.0.-.-.0.D.O	0G	1	1	0	0
101YvmO.6H0C5.2.6.D.0.-.-.0.L.P	0T	1	0	1	0
101YvmO.cH0C5.2.5.L.0.-.-.0.D.Q	0V	1	1	0	0
102J9bYO.1W0mOO7.0.3.D.0.-.-.0.L.T	0U	1	1	0	0
102J9bYO.1X0mOO7.0.2.L.0.-.-.0.D.U	3g	1	0	1	0
102WGGA10.GW0100S3.6.6.D.0.-.-.0.L.H	0Y	1	1	0	0
102WGGA10.GWG100S3.6.5.L.0.-.-.0.D.I	0G	1	0	1	0
102WGGA10.GWG1W0S3.6.4.L.G00.-.-.1.D.K	0I	1	0	1	0
102WGGQ10.GWG100S3.5.5.D.0.-.-.0.L.J	0N	1	1	0	0
102WGHA10.GWG1W0S3.5.4.D.0.-.-.0.L.L	0Q	1	1	0	0
102WGHA10.GWG5W0S3.5.3.L.0.-.-.0.D.M	0P	1	0	1	0
