# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
100SE43Ym.ZC212y01.0.1.D.W000000.Y.-.1.L.X	lunatic-v0.1.0	0e	1	500	21	1	0	1	0
100SE43Ym.ZS212y01.0.0.L.0.Y.-.0.D.Y	rust-pathfinder-v0.1.0	4U	4	999999965	2658	1	1	0	0
100W08421.1W0006.8.A.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	0S	4	835	4224	1	1	0	0
100W08421.W0006.8.B.D.G0000.-.-.1.L.B	lunatic-v0.1.0	0U	1	500	39	1	0	1	0
100WG8421.101W0006.7.9.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0M	4	740	14567	1	1	0	0
100WG8421.101W0806.7.8.L.G000.-.-.1.D.G	rust-pathfinder-v0.1.0	03	4	670	16399	1	1	0	0
100WG8421.101W080M.7.7.L.8.-.-.1.D.I	rust-pathfinder-v0.1.0	09	4	560	14015	1	1	0	0
100WG8421.101W0O0M.7.6.L.80.-.-.1.D.K	rust-pathfinder-v0.1.0	0M	4	655	8805	1	1	0	0
100WG8421.1W0006.7.A.D.0.-.-.0.L.D	lunatic-v0.1.0	0g	1	850	38	1	0	1	0
100WG8429.101W0806.6.8.D.0.-.-.0.L.H	lunatic-v0.1.0	04	1	10000	35	1	0	1	0
100WG84A1.101W080M.6.7.D.0.-.-.0.L.J	lunatic-v0.1.0	0G	1	10000	34	1	0	1	0
100WGO421.101W0006.6.9.D.0.-.-.0.L.F	lunatic-v0.1.0	0F	1	10000	36	1	0	1	0
100WGO421.101W0O0M.6.6.D.0.-.-.0.L.L	lunatic-v0.1.0	0a	1	1550	33	1	0	1	0
100WGO421.111W0O0M.6.5.L.0.-.-.0.D.M	rust-pathfinder-v0.1.0	0h	4	1060	8335	1	1	0	0
100WGO421.511W0O0M.6.4.L.20000000.-.-.1.D.O	rust-pathfinder-v0.1.0	0c	4	635	8414	1	1	0	0
100mP8.1O003.7.9.D.W000.-.-.1.L.D	lunatic-v0.1.0	0P	1	500	36	1	0	1	0
100mP8.3O003.7.8.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0N	4	775	6100	1	1	0	0
1010G842.602W0000.8.A.D.0.-.-.0.L.D	lunatic-v0.1.0	0S	1	850	39	1	0	1	0
1010G842.602m0000.8.9.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	0Z	4	470	13197	1	1	0	0
10110Yi.O020S01.6.7.L.400000.-.-.1.D.I	rust-pathfinder-v0.1.0	0L	4	-335	18841	1	1	0	0
10190Yi.O020O01.5.8.D.400.-.-.1.L.J	lunatic-v0.1.0	0N	1	11350	33	1	0	1	0
102100G84._0000000.8.8.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0W	4	435	9383	1	1	0	0
102100G84._0400000.8.7.L.0.-.-.0.D.G	lunatic-v0.1.0	0e	1	850	36	1	0	1	0
102100G84._0C00000.8.6.L.G000000.-.-.1.D.I	lunatic-v0.1.0	0N	1	500	34	1	0	1	0
10210WG84._0C00000.7.6.D.0.-.-.0.L.J	rust-pathfinder-v0.1.0	0Y	4	536870911	562	1	1	0	0
10210WG84._0S00000.7.5.L.0.-.-.0.D.K	lunatic-v0.1.0	0c	1	500	33	1	0	1	0
104G8.81m00.A.A.D.0.-.-.0.L.9	rust-pathfinder-v0.1.0	0F	4	20	79654	1	1	0	0
104G8.81u00.A.9.L.0.-.-.0.D.A	lunatic-v0.1.0	00	1	500	40	1	0	1	0
104G9.81u00.9.9.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	07	4	470	12552	1	1	0	0
104G9.81u20.9.8.L.0.-.-.0.D.C	lunatic-v0.1.0	05	1	500	38	1	0	1	0
104Gf.81u20.8.8.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	0J	4	11085	10568	1	1	0	0
104Gf.83u20.8.7.L.0.-.-.0.D.E	lunatic-v0.1.0	08	1	350	36	1	0	1	0
104I802.e040.8.B.D.0.-.-.0.L.B	lunatic-v0.1.0	07	1	500	40	1	0	1	0
104I802.e060.8.A.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	0C	4	285	13435	1	1	0	0
104I84YH0.83u000.4.8.D.W000000.-.-.1.L.J	lunatic-v0.1.0	0Q	1	500	32	1	0	1	0
104I84YH0.87u000.4.7.L.0.-.-.0.D.K	rust-pathfinder-v0.1.0	0f	4	999999979	313	1	1	0	0
104I902.e060.7.A.D.0.-.-.0.L.D	lunatic-v0.1.0	05	1	850	38	1	0	1	0
104I902.e06W.7.9.L.0.-.-.0.D.E	rust-pathfinder-v0.1.0	06	4	590	9254	1	1	0	0
104I912.80e06W.6.8.L.0.-.-.0.D.G	rust-pathfinder-v0.1.0	0D	4	795	16036	1	1	0	0
104I912.e06W.6.9.D.0.-.-.0.L.F	lunatic-v0.1.0	0X	1	850	36	1	0	1	0
104IB12.80e06W.5.8.D.0.-.-.0.L.H	lunatic-v0.1.0	09	1	500	34	1	0	1	0
104IB12.80e0EW.5.7.L.0.-.-.0.D.I	rust-pathfinder-v0.1.0	0e	4	970	13757	1	1	0	0
104Kf.83u20.7.7.D.0.-.-.0.L.F	rust-pathfinder-v0.1.0	0M	4	11305	10914	1	1	0	0
104Kf.8Ju20.7.6.L.0.-.-.0.D.G	lunatic-v0.1.0	0L	1	350	34	1	0	1	0
104WGO421.511W0O0M.5.4.D.0.-.-.0.L.P	lunatic-v0.1.0	0V	1	1200	30	1	0	1	0
104WGO421.513W0O0M.5.3.L.0.-.-.0.D.Q	rust-pathfinder-v0.1.0	0h	4	10330	3905	1	1	0	0
10610WG84._0S00000.6.5.D.0.-.-.0.L.L	rust-pathfinder-v0.1.0	0d	4	999999978	278	1	1	0	0
1080001.2W0W000.B.B.D.0.-.-.0.L.7	lunatic-v0.1.0	07	1	500	43	1	0	1	0
1080001.2W0W020.B.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	0h	4	45	11051	1	1	0	0
108G00.a000.B.C.D.0.-.-.0.L.5	rust-pathfinder-v0.1.0	0M	4	20	18637	1	1	0	0
108G00.q000.B.B.L.0.-.-.0.D.6	lunatic-v0.1.0	00	1	500	43	1	0	1	0
108G01.q000.A.B.D.0.-.-.0.L.7	rust-pathfinder-v0.1.0	0F	4	-220	45124	1	1	0	0
108G01.q800.A.A.L.0.-.-.0.D.8	lunatic-v0.1.0	0E	1	10850	41	1	0	1	0
108K01.q000.9.B.D.800.-.-.1.L.9	rust-pathfinder-v0.1.0	07	4	-175	8785	1	1	0	0
108K01.q020.9.A.L.0.-.-.0.D.A	lunatic-v0.1.0	01	1	500	40	1	0	1	0
108K03.q020.8.A.D.0.-.-.0.L.B	rust-pathfinder-v0.1.0	0F	4	305	10111	1	1	0	0
108K03.q820.8.9.L.0.-.-.0.D.C	lunatic-v0.1.0	08	1	850	38	1	0	1	0
108K43.2r820.7.7.L.10000.-.-.1.D.G	lunatic-v0.1.0	0T	1	1050	34	1	0	1	0
108K43.q820.7.9.D.0.-.-.0.L.D	rust-pathfinder-v0.1.0	0I	4	250	7028	1	1	0	0
108K43.r820.7.8.L.0.-.-.0.D.E	lunatic-v0.1.0	0O	1	1200	36	1	0	1	0
108O61.300I002.7.9.D.0.-.-.0.L.F	lunatic-v0.1.0	0N	1	10000	37	1	0	1	0
10G12fIWK._00100O8.2.4.D.0.-.-.0.L.V	rust-pathfinder-v0.1.0	0X	4	55	5306	1	1	0	0
10G8000W0.Z0000000.A.B.D.0.-.-.0.L.7	lunatic-v0.1.0	00	1	500	42	1	0	1	0
10G8000W0.Z0000001.A.A.L.0.-.-.0.D.8	rust-pathfinder-v0.1.0	04	4	525	7908	1	1	0	0
10G8000WG.Z0000001.9.A.D.0.-.-.0.L.9	lunatic-v0.1.0	0E	1	500	40	1	0	1	0
10G8000WG.Z0000401.9.9.L.0.-.-.0.D.A	rust-pathfinder-v0.1.0	02	4	775	8424	1	1	0	0
10G8000WK.Z0000401.8.9.D.0.-.-.0.L.B	lunatic-v0.1.0	0F	1	500	38	1	0	1	0
10G8000WK.Z0000C01.8.8.L.0.-.-.0.D.C	rust-pathfinder-v0.1.0	03	4	320	14247	1	1	0	0
10G8000WS.Z0000C01.7.8.D.0.-.-.0.L.D	lunatic-v0.1.0	0G	1	500	36	1	0	1	0
